Date,Open,High,Low,close,Adj Close,Volume,sentiment_score,intensity_score,type_token_ratio
1994-06-20,0.234375,0.243304,0.232143,0.242188,0.201673,199897600,0.0,0.46948956622254673,0.0
1994-06-21,0.239955,0.243304,0.229911,0.232143,0.193309,243275200,0.0,0.46948956622254673,0.0
1994-06-22,0.234375,0.238839,0.232143,0.234375,0.195167,113859200,0.0,0.46948956622254673,0.0
1994-06-23,0.234375,0.234375,0.222098,0.22433,0.186803,203896000,0.0,0.46948956622254673,0.0
1994-06-24,0.22433,0.233259,0.220982,0.228655,0.190404,292857600,0.0,0.46948956622254673,0.0
1994-06-27,0.225446,0.234375,0.219866,0.234375,0.195167,255953600,0.0,0.46948956622254673,0.0
1994-06-28,0.234375,0.242188,0.228795,0.238839,0.198885,174227200,0.0,0.46948956622254673,0.0
1994-06-29,0.238839,0.242188,0.231027,0.233259,0.194238,135564800,0.0,0.46948956622254673,0.0
1994-06-30,0.234375,0.239955,0.234375,0.236607,0.197026,101729600,0.0,0.46948956622254673,0.0
1994-07-01,0.235491,0.236607,0.226563,0.229911,0.19145,179278400,0.0,0.46948956622254673,0.0
1994-07-05,0.228795,0.238839,0.228795,0.236607,0.197026,85848000,0.0,0.46948956622254673,0.0
1994-07-06,0.234375,0.236607,0.232143,0.233259,0.194238,97384000,0.0,0.46948956622254673,0.0
1994-07-07,0.231027,0.241071,0.227679,0.239397,0.199349,170150400,0.0,0.46948956622254673,0.0
1994-07-08,0.236607,0.246652,0.236607,0.241629,0.201208,208230400,0.0,0.46948956622254673,0.0
1994-07-11,0.242188,0.24442,0.237723,0.241071,0.200743,106422400,0.0,0.46948956622254673,0.0
1994-07-12,0.241071,0.253906,0.235491,0.253348,0.210967,242312000,0.0,0.46948956622254673,0.0
1994-07-13,0.254464,0.270089,0.254464,0.265067,0.220725,450262400,0.0,0.46948956622254673,0.0
1994-07-14,0.264509,0.265625,0.252232,0.25558,0.212825,180667200,0.0,0.46948956622254673,0.0
1994-07-15,0.252093,0.25558,0.245536,0.252232,0.210037,94964800,0.0,0.46948956622254673,0.0
1994-07-18,0.251116,0.258929,0.25,0.253348,0.210967,76428800,0.0,0.46948956622254673,0.0
1994-07-19,0.25558,0.256696,0.24442,0.24721,0.205855,116368000,0.0,0.46948956622254673,0.0
1994-07-20,0.24442,0.246652,0.235491,0.237723,0.197955,217369600,0.0,0.46948956622254673,0.0
1994-07-21,0.237723,0.254464,0.236607,0.25,0.208179,289475200,0.0,0.46948956622254673,0.0
1994-07-22,0.282366,0.285435,0.267857,0.276786,0.230484,786576000,0.0,0.46948956622254673,0.0
1994-07-25,0.277902,0.284598,0.274554,0.282924,0.235595,422654400,0.0,0.46948956622254673,0.0
1994-07-26,0.283482,0.285714,0.277902,0.280134,0.233272,188809600,0.0,0.46948956622254673,0.0
1994-07-27,0.279018,0.280134,0.273438,0.277344,0.230948,133784000,0.0,0.46948956622254673,0.0
1994-07-28,0.276786,0.28683,0.27567,0.284598,0.236989,245313600,0.0,0.46948956622254673,0.0
1994-07-29,0.284598,0.303571,0.284598,0.300781,0.250465,555766400,0.0,0.46948956622254673,0.0
1994-08-01,0.300223,0.301339,0.292411,0.297991,0.248141,229275200,0.0,0.46948956622254673,0.0
1994-08-02,0.299107,0.300223,0.289063,0.290737,0.242101,269561600,0.0,0.46948956622254673,0.0
1994-08-03,0.292411,0.296875,0.28683,0.295759,0.246283,226844800,0.0,0.46948956622254673,0.0
1994-08-04,0.295759,0.301339,0.295759,0.296875,0.247212,184755200,0.0,0.46948956622254673,0.0
1994-08-05,0.293527,0.297991,0.293527,0.296875,0.247212,87012800,0.0,0.46948956622254673,0.0
1994-08-08,0.295759,0.303571,0.294643,0.301339,0.250929,141276800,0.0,0.46948956622254673,0.0
1994-08-09,0.299107,0.302455,0.295759,0.300223,0.25,78601600,0.0,0.46948956622254673,0.0
1994-08-10,0.300223,0.311384,0.296875,0.309152,0.257435,253568000,0.0,0.46948956622254673,0.0
